n_components,accuracy,training_time
2,0.3432857142857143,9.737709760665894
4,0.5361428571428571,10.358245134353638
16,0.853,12.793068170547485
32,0.8979285714285714,32.14497208595276
64,0.9137142857142857,92.45452880859375
128,0.9195,222.33868598937988
256,0.9214285714285714,261.8106870651245
384,0.9195,260.00732803344727
512,0.9206428571428571,298.75774002075195
646,0.9208571428571428,322.16539216041565
780,0.9208571428571428,318.9944169521332
